"","Dataset","Subject","Activity","Measurement","Value"
"156","test","2","SITTING","tBodyGyroJerk-mean-Y",-0.0415602029130435
"157","test","2","SITTING","tBodyGyroJerk-mean-Z",-0.04358509665
"158","test","2","SITTING","tBodyGyroJerk-std-X",-0.989709023043478
"159","test","2","SITTING","tBodyGyroJerk-std-Y",-0.990889614782609
"160","test","2","SITTING","tBodyGyroJerk-std-Z",-0.985542325652174
"161","test","2","SITTING","tBodyGyroJerkMag-mean",-0.991081493913043
"162","test","2","SITTING","tBodyGyroJerkMag-std",-0.989594919565217
"163","test","2","SITTING","tBodyGyroMag-mean",-0.946035087173913
"164","test","2","SITTING","tBodyGyroMag-std",-0.961313624130435
"165","test","2","SITTING","tGravityAcc-mean-X",0.940477273043478
"166","test","2","SITTING","tGravityAcc-mean-Y",-0.105630024498783
"167","test","2","SITTING","tGravityAcc-mean-Z",0.19872676876087
"168","test","2","SITTING","tGravityAcc-std-X",-0.979988760869565
"169","test","2","SITTING","tGravityAcc-std-Y",-0.956750273043478
"170","test","2","SITTING","tGravityAcc-std-Z",-0.954415873043478
"171","test","2","SITTING","tGravityAccMag-mean",-0.967893623913043
"172","test","2","SITTING","tGravityAccMag-std",-0.953081444130435
"173","test","2","STANDING","a(tBodyAccJerkMean),gravityMean)",0.0411822244577778
"174","test","2","STANDING","a(tBodyAccMean,gravity)",-0.013681915312963
"175","test","2","STANDING","a(tBodyGyroJerkMean,gravityMean)",0.11232464912963
"176","test","2","STANDING","a(tBodyGyroMean,gravityMean)",-0.0151035161722222
"177","test","2","STANDING","a(X,gravityMean)",-0.627180076111111
"178","test","2","STANDING","a(Y,gravityMean)",0.337937911666667
"179","test","2","STANDING","a(Z,gravityMean)",-0.0678959805833333
"180","test","2","STANDING","fBodyAcc-mean-X",-0.983946739814815
"181","test","2","STANDING","fBodyAcc-mean-X.1",0.108519182924074
"182","test","2","STANDING","fBodyAcc-mean-Y",-0.959871697407407
"183","test","2","STANDING","fBodyAcc-mean-Y.1",0.0623378066683333
"184","test","2","STANDING","fBodyAcc-mean-Z",-0.962471195740741
"185","test","2","STANDING","fBodyAcc-mean-Z.1",0.104462499601852
"186","test","2","STANDING","fBodyAcc-std-X",-0.989056469814815
"187","test","2","STANDING","fBodyAcc-std-Y",-0.957908842222222
"188","test","2","STANDING","fBodyAcc-std-Z",-0.946433583518518
"189","test","2","STANDING","fBodyAccJerk-mean-X",-0.980973241666667
"190","test","2","STANDING","fBodyAccJerk-mean-X.1",0.331449281481482
"191","test","2","STANDING","fBodyAccJerk-mean-Y",-0.970851337962963
"192","test","2","STANDING","fBodyAccJerk-mean-Y.1",-0.0569368291814815
"193","test","2","STANDING","fBodyAccJerk-mean-Z",-0.979775152037037
"194","test","2","STANDING","fBodyAccJerk-mean-Z.1",0.0396498183462963
"195","test","2","STANDING","fBodyAccJerk-std-X",-0.983007923703704
"196","test","2","STANDING","fBodyAccJerk-std-Y",-0.973520241111111
"197","test","2","STANDING","fBodyAccJerk-std-Z",-0.984599905185185
"198","test","2","STANDING","fBodyAccJerkMag-mean",-0.977065295555556
"199","test","2","STANDING","fBodyAccJerkMag-mean.1",0.304871865218519
"200","test","2","STANDING","fBodyAccJerkMag-std",-0.97516046
"201","test","2","STANDING","fBodyAccMag-mean",-0.964052166481482
"202","test","2","STANDING","fBodyAccMag-mean.1",0.119649963903704
"203","test","2","STANDING","fBodyAccMag-std",-0.960519381481482
"204","test","2","STANDING","fBodyGyro-mean-X",-0.967037112037037
"205","test","2","STANDING","fBodyGyro-mean-X.1",-0.107416045074074
"206","test","2","STANDING","fBodyGyro-mean-Y",-0.972576152962963
"207","test","2","STANDING","fBodyGyro-mean-Y.1",-0.171160370096296
"208","test","2","STANDING","fBodyGyro-mean-Z",-0.960627696111111
"209","test","2","STANDING","fBodyGyro-mean-Z.1",0.000226810610740739
"210","test","2","STANDING","fBodyGyro-std-X",-0.97498812462963
"211","test","2","STANDING","fBodyGyro-std-Y",-0.97103605037037
"212","test","2","STANDING","fBodyGyro-std-Z",-0.969754295740741
"213","test","2","STANDING","fBodyGyroJerkMag-mean",-0.977849827407407
"214","test","2","STANDING","fBodyGyroJerkMag-mean.1",0.160662823925926
"215","test","2","STANDING","fBodyGyroJerkMag-std",-0.977754298148148
"216","test","2","STANDING","fBodyGyroMag-mean",-0.961775904814815
"217","test","2","STANDING","fBodyGyroMag-mean.1",-0.0661266045796296
"218","test","2","STANDING","fBodyGyroMag-std",-0.956788725740741
"219","test","2","STANDING","tBodyAcc-mean-X",0.277911472222222
"220","test","2","STANDING","tBodyAcc-mean-Y",-0.0184208270166667
"221","test","2","STANDING","tBodyAcc-mean-Z",-0.105908536055556
"222","test","2","STANDING","tBodyAcc-std-X",-0.987271889259259
"223","test","2","STANDING","tBodyAcc-std-Y",-0.957304989259259
"224","test","2","STANDING","tBodyAcc-std-Z",-0.949741851296296
"225","test","2","STANDING","tBodyAccJerk-mean-X",0.0747588597592593
"226","test","2","STANDING","tBodyAccJerk-mean-Y",0.0103291774794444
"227","test","2","STANDING","tBodyAccJerk-mean-Z",-0.00837158846722222
"228","test","2","STANDING","tBodyAccJerk-std-X",-0.981085715555556
"229","test","2","STANDING","tBodyAccJerk-std-Y",-0.97105943962963
"230","test","2","STANDING","tBodyAccJerk-std-Z",-0.982841446481482
"231","test","2","STANDING","tBodyAccJerkMag-mean",-0.980489077407407
"232","test","2","STANDING","tBodyAccJerkMag-std",-0.976675280185185
"233","test","2","STANDING","tBodyAccMag-mean",-0.965875181296296
"234","test","2","STANDING","tBodyAccMag-std",-0.957874965
"235","test","2","STANDING","tBodyGyro-mean-X",-0.0238623875712963
"236","test","2","STANDING","tBodyGyro-mean-Y",-0.0820396577592593
"237","test","2","STANDING","tBodyGyro-mean-Z",0.0878351695481481
"238","test","2","STANDING","tBodyGyro-std-X",-0.972998629814815
"239","test","2","STANDING","tBodyGyro-std-Y",-0.971441996481481
"240","test","2","STANDING","tBodyGyro-std-Z",-0.964856701851852
"241","test","2","STANDING","tBodyGyroJerk-mean-X",-0.105562157888889
"242","test","2","STANDING","tBodyGyroJerk-mean-Y",-0.042241953537037
"243","test","2","STANDING","tBodyGyroJerk-mean-Z",-0.0546539479425926
"244","test","2","STANDING","tBodyGyroJerk-std-X",-0.979324000740741
"245","test","2","STANDING","tBodyGyroJerk-std-Y",-0.983447258518519
"246","test","2","STANDING","tBodyGyroJerk-std-Z",-0.973610118333333
"247","test","2","STANDING","tBodyGyroJerkMag-mean",-0.983951904259259
"248","test","2","STANDING","tBodyGyroJerkMag-std",-0.977204427777778
"249","test","2","STANDING","tBodyGyroMag-mean",-0.963466341851852
"250","test","2","STANDING","tBodyGyroMag-std",-0.95394338037037
"251","test","2","STANDING","tGravityAcc-mean-X",0.896928566851852
"252","test","2","STANDING","tGravityAcc-mean-Y",-0.370062696851852
"253","test","2","STANDING","tGravityAcc-mean-Z",0.129747161222222
"254","test","2","STANDING","tGravityAcc-std-X",-0.986685818703704
"255","test","2","STANDING","tGravityAcc-std-Y",-0.97419442037037
"256","test","2","STANDING","tGravityAcc-std-Z",-0.945927078703704
"257","test","2","STANDING","tGravityAccMag-mean",-0.965875181296296
"258","test","2","STANDING","tGravityAccMag-std",-0.957874965
"259","test","2","WALKING","a(tBodyAccJerkMean),gravityMean)",0.0534005800847458
"260","test","2","WALKING","a(tBodyAccMean,gravity)",-0.0301017378813559
"261","test","2","WALKING","a(tBodyGyroJerkMean,gravityMean)",-0.0858470827457627
"262","test","2","WALKING","a(tBodyGyroMean,gravityMean)",0.0216196774508475
"263","test","2","WALKING","a(X,gravityMean)",-0.66195998
"264","test","2","WALKING","a(Y,gravityMean)",0.321443011864407
"265","test","2","WALKING","a(Z,gravityMean)",-0.0368892833067797
"266","test","2","WALKING","fBodyAcc-mean-X",-0.346048161016949
"267","test","2","WALKING","fBodyAcc-mean-X.1",-0.14579548970339
"268","test","2","WALKING","fBodyAcc-mean-Y",-0.0219048103322034
"269","test","2","WALKING","fBodyAcc-mean-Y.1",0.198586466508475
"270","test","2","WALKING","fBodyAcc-mean-Z",-0.453806369830508
"271","test","2","WALKING","fBodyAcc-mean-Z.1",0.0688995208186441
"272","test","2","WALKING","fBodyAcc-std-X",-0.457651383728814
"273","test","2","WALKING","fBodyAcc-std-Y",-0.16921968620339
"274","test","2","WALKING","fBodyAcc-std-Z",-0.455222146440678
"275","test","2","WALKING","fBodyAccJerk-mean-X",-0.304615322881356
"276","test","2","WALKING","fBodyAccJerk-mean-X.1",-0.0727101584479661
"277","test","2","WALKING","fBodyAccJerk-mean-Y",-0.0787640836610169
"278","test","2","WALKING","fBodyAccJerk-mean-Y.1",-0.263574018186441
"279","test","2","WALKING","fBodyAccJerk-mean-Z",-0.554956709661017
"280","test","2","WALKING","fBodyAccJerk-mean-Z.1",-0.254846438755932
"281","test","2","WALKING","fBodyAccJerk-std-X",-0.31431306340678
"282","test","2","WALKING","fBodyAccJerk-std-Y",-0.0153329520084746
"283","test","2","WALKING","fBodyAccJerk-std-Z",-0.615898188474576
"284","test","2","WALKING","fBodyAccJerkMag-mean",-0.169064352813559
"285","test","2","WALKING","fBodyAccJerkMag-mean.1",0.20750092670339
"286","test","2","WALKING","fBodyAccJerkMag-std",-0.164091969449153
"287","test","2","WALKING","fBodyAccMag-mean",-0.324289427932203
"288","test","2","WALKING","fBodyAccMag-mean.1",0.393206208305085
"289","test","2","WALKING","fBodyAccMag-std",-0.577105211694915
"290","test","2","WALKING","fBodyGyro-mean-X",-0.429713536101695
"291","test","2","WALKING","fBodyGyro-mean-X.1",0.00727967988474576
"292","test","2","WALKING","fBodyGyro-mean-Y",-0.55477211220339
"293","test","2","WALKING","fBodyGyro-mean-Y.1",-0.0427009322372881
"294","test","2","WALKING","fBodyGyro-mean-Z",-0.396659907457627
"295","test","2","WALKING","fBodyGyro-mean-Z.1",0.139752115269492
"296","test","2","WALKING","fBodyGyro-std-X",-0.604053019152542
"297","test","2","WALKING","fBodyGyro-std-Y",-0.533046952542373
"298","test","2","WALKING","fBodyGyro-std-Z",-0.559856635084746
"299","test","2","WALKING","fBodyGyroJerkMag-mean",-0.583249293389831
"300","test","2","WALKING","fBodyGyroJerkMag-mean.1",0.126344614439492
"301","test","2","WALKING","fBodyGyroJerkMag-std",-0.558104554745763
"302","test","2","WALKING","fBodyGyroMag-mean",-0.530704814745763
"303","test","2","WALKING","fBodyGyroMag-mean.1",0.305283825254237
"304","test","2","WALKING","fBodyGyroMag-std",-0.651792839661017
"305","test","2","WALKING","tBodyAcc-mean-X",0.276426586440678
"306","test","2","WALKING","tBodyAcc-mean-Y",-0.0185949199145763
"307","test","2","WALKING","tBodyAcc-mean-Z",-0.105500357966102
"308","test","2","WALKING","tBodyAcc-std-X",-0.423642838474576
"309","test","2","WALKING","tBodyAcc-std-Y",-0.0780912533118644
"310","test","2","WALKING","tBodyAcc-std-Z",-0.425257524915254
"311","test","2","WALKING","tBodyAccJerk-mean-X",0.0618080696279661
"312","test","2","WALKING","tBodyAccJerk-mean-Y",0.0182492679288136
"313","test","2","WALKING","tBodyAccJerk-mean-Z",0.00789533706610169
"314","test","2","WALKING","tBodyAccJerk-std-X",-0.277530462620339
"315","test","2","WALKING","tBodyAccJerk-std-Y",-0.0166022362847458
"316","test","2","WALKING","tBodyAccJerk-std-Z",-0.586090418983051
"317","test","2","WALKING","tBodyAccJerkMag-mean",-0.281424153881356
"318","test","2","WALKING","tBodyAccJerkMag-std",-0.164150985127119
"319","test","2","WALKING","tBodyAccMag-mean",-0.290407593728814
"320","test","2","WALKING","tBodyAccMag-std",-0.422544169322034
"321","test","2","WALKING","tBodyGyro-mean-X",-0.0530258157347458
"322","test","2","WALKING","tBodyGyro-mean-Y",-0.0482382316949153
"323","test","2","WALKING","tBodyGyro-mean-Z",0.0828336633220339
"324","test","2","WALKING","tBodyGyro-std-X",-0.561550255762712
"325","test","2","WALKING","tBodyGyro-std-Y",-0.53845366779661
"326","test","2","WALKING","tBodyGyro-std-Z",-0.481085535084746
"327","test","2","WALKING","tBodyGyroJerk-mean-X",-0.0818833429152542
"328","test","2","WALKING","tBodyGyroJerk-mean-Y",-0.0538299449067797
"329","test","2","WALKING","tBodyGyroJerk-mean-Z",-0.0514939156830508
"330","test","2","WALKING","tBodyGyroJerk-std-X",-0.389549831525424
"331","test","2","WALKING","tBodyGyroJerk-std-Y",-0.634140436101695
"332","test","2","WALKING","tBodyGyroJerk-std-Z",-0.435492677288136
"333","test","2","WALKING","tBodyGyroJerkMag-mean",-0.547911950338983
"334","test","2","WALKING","tBodyGyroJerkMag-std",-0.557798151355932
"335","test","2","WALKING","tBodyGyroMag-mean",-0.446549092881356
"336","test","2","WALKING","tBodyGyroMag-std",-0.553019916271186
"337","test","2","WALKING","tGravityAcc-mean-X",0.91301733338983
"338","test","2","WALKING","tGravityAcc-mean-Y",-0.34660709
"339","test","2","WALKING","tGravityAcc-mean-Z",0.0847270871186441
"340","test","2","WALKING","tGravityAcc-std-X",-0.972693201355932
"341","test","2","WALKING","tGravityAcc-std-Y",-0.972116879661017
"342","test","2","WALKING","tGravityAcc-std-Z",-0.972072847627119
"343","test","2","WALKING","tGravityAccMag-mean",-0.290407593728814
"344","test","2","WALKING","tGravityAccMag-std",-0.422544169322034
"345","test","2","WALKING_DOWNSTAIRS","a(tBodyAccJerkMean),gravityMean)",-0.00637550521276596
"346","test","2","WALKING_DOWNSTAIRS","a(tBodyAccMean,gravity)",-0.0243291092914894
"347","test","2","WALKING_DOWNSTAIRS","a(tBodyGyroJerkMean,gravityMean)",-0.073580298587234
"348","test","2","WALKING_DOWNSTAIRS","a(tBodyGyroMean,gravityMean)",0.366551180212766
"349","test","2","WALKING_DOWNSTAIRS","a(X,gravityMean)",-0.624985569787234
"350","test","2","WALKING_DOWNSTAIRS","a(Y,gravityMean)",0.311800312978723
"351","test","2","WALKING_DOWNSTAIRS","a(Z,gravityMean)",0.0537293985574468
"352","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-X",0.112841160325532
"353","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-X.1",-0.273711609659574
"354","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-Y",0.278345041765957
"355","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-Y.1",0.0119309606468085
"356","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-Z",-0.131290772
"357","test","2","WALKING_DOWNSTAIRS","fBodyAcc-mean-Z.1",0.0903678546504255
"358","test","2","WALKING_DOWNSTAIRS","fBodyAcc-std-X",0.0161046198595745
"359","test","2","WALKING_DOWNSTAIRS","fBodyAcc-std-Y",0.171973972957447
"360","test","2","WALKING_DOWNSTAIRS","fBodyAcc-std-Z",-0.162032894287234
"361","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-X",0.138120681087234
"362","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-X.1",-0.143898149531915
"363","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-Y",0.0962091607617021
"364","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-Y.1",-0.357514501744681
"365","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-Z",-0.271498721106383
"366","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-mean-Z.1",-0.234703932446809
"367","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-std-X",0.0499590624829787
"368","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-std-Y",0.0808333491276596
"369","test","2","WALKING_DOWNSTAIRS","fBodyAccJerk-std-Z",-0.408227423191489
"370","test","2","WALKING_DOWNSTAIRS","fBodyAccJerkMag-mean",0.222247409576596
"371","test","2","WALKING_DOWNSTAIRS","fBodyAccJerkMag-mean.1",0.0188355111404255
"372","test","2","WALKING_DOWNSTAIRS","fBodyAccJerkMag-std",0.227480732542553
"373","test","2","WALKING_DOWNSTAIRS","fBodyAccMag-mean",0.293424826591489
"374","test","2","WALKING_DOWNSTAIRS","fBodyAccMag-mean.1",0.0938321297617021
"375","test","2","WALKING_DOWNSTAIRS","fBodyAccMag-std",-0.0214787881723404
"376","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-X",-0.145775970406383
"377","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-X.1",-0.0375298023191489
"378","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-Y",-0.361913824
"379","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-Y.1",0.0770894557234043
"380","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-Z",-0.0874944736085106
"381","test","2","WALKING_DOWNSTAIRS","fBodyGyro-mean-Z.1",0.1367749584
"382","test","2","WALKING_DOWNSTAIRS","fBodyGyro-std-X",-0.379436674361702
"383","test","2","WALKING_DOWNSTAIRS","fBodyGyro-std-Y",-0.458732747446809
